#image x y z h
80 -19.2 137.8 286 97
81 -4.0 130.2 286 111
82 6.1 114.9 286 118
83 -11.6 93.6 286 151
84 -14.1 84.4 286 162
85 -11.6 72.2 286 158
86 -9.1 57.0 286 156
87 -6.6 38.7 286 158
88 -1.5 17.3 286 160
89 3.5 9.7 286 162
90 1.0 0.5 286 128
110 -59.6 145.4 286 89
111 -47.0 134.7 286 110
112 -47.0 125.6 286 115
113 -47.0 114.9 286 129
114 -41.9 95.1 286 157
114 3.5 140.8 286 97
115 -44.4 84.4 286 160
115 6.1 131.7 286 105
116 -36.9 66.1 286 157
116 23.7 119.5 286 123
117 -36.9 52.4 286 158
117 23.7 99.7 286 149
118 -34.3 32.6 286 161
118 18.7 87.5 286 165
119 -26.8 12.7 286 159
119 -19.2 137.8 286 102
119 21.2 76.8 286 173
120 -72.2 145.4 286 88
120 -24.2 5.1 286 158
120 -16.7 125.6 286 115
120 33.8 61.5 286 167
121 -24.2 118.0 286 128
121 33.8 47.8 286 168
122 -29.3 104.2 286 131
122 38.9 35.6 286 164
123 -21.7 89.0 286 162
123 51.5 24.9 286 163
124 -24.2 79.8 286 174
124 59.1 5.1 286 168
125 -21.7 63.1 286 169
125 61.6 0.5 286 169
126 -4.0 29.5 286 165
127 1.0 14.3 286 171
128 -34.3 131.7 286 104
128 23.7 0.5 286 136
129 -31.8 119.5 286 116
130 -21.7 108.8 286 128
131 -14.1 102.7 286 148
132 -6.6 90.5 286 162
133 -4.0 63.1 286 160
134 -1.5 49.3 286 159
135 1.0 34.1 286 164
136 3.5 14.3 286 165
137 8.6 0.5 286 163
138 -44.4 140.8 286 96
138 21.2 0.5 286 137
139 -41.9 128.6 286 112
140 -24.2 108.8 286 106
141 -6.6 111.9 286 132
142 -4.0 101.2 286 147
143 16.2 93.6 286 164
144 11.1 75.3 286 181
145 16.2 61.5 286 181
146 23.7 46.3 286 182
147 31.3 31.0 286 185
148 38.9 17.3 286 185
149 54.0 20.4 286 183
150 64.1 3.6 286 181
