#config f cx cy
413 376 240
#image x y z h
4 151 -23 179 1
4 153 25 174 2
4 158 92 174 1
4 155 86 160 1
4 158 94 174 1
5 154 -26 183 1
5 153 25 174 2
5 158 92 174 1
5 155 85 160 1
5 158 94 174 1
6 152 -41 287 103
6 152 -27 286 107
6 153 26 282 108
6 154 93 277 103
6 156 92 277 103
6 155 86 278 118
6 154 95 277 103
7 153 26 174 1
7 158 92 174 1
7 155 86 160 1
7 158 94 174 1
8 153 26 174 1
8 158 92 174 1
8 155 87 161 1
8 158 94 174 1
8 155 89 161 1
9 152 -22 286 105
9 152 -23 286 105
9 158 92 278 104
9 155 86 278 117
9 158 94 277 103
10 153 -28 287 106
10 155 86 278 117
10 157 97 277 104
11 154 -23 182 1
11 158 92 174 1
11 155 87 161 1
11 158 94 174 1
11 155 89 161 1
12 152 -43 288 99
12 152 -22 286 96
12 153 19 283 102
12 158 92 278 104
12 155 86 278 118
12 158 94 277 103
13 151 -30 287 101
13 155 14 283 98
13 152 19 283 103
13 158 92 278 104
13 155 85 278 118
13 158 94 277 103
14 153 -28 183 1
14 148 -12 176 1
14 158 92 174 1
14 155 85 160 1
14 158 94 174 1
15 148 -7 285 110
15 153 19 283 102
15 155 86 278 117
15 158 97 277 104
16 152 -21 181 1
16 148 -11 177 1
16 152 19 180 1
16 155 86 161 1
17 -19 -104 290 97
17 149 -6 285 109
17 155 14 283 105
17 158 92 278 104
17 155 86 278 118
17 158 94 277 103
18 -30 -104 290 95
18 -20 -99 290 95
18 155 -28 287 102
18 153 -19 286 103
18 155 86 278 117
19 -33 -102 290 108
19 -21 -84 289 94
19 152 -20 286 103
19 155 14 283 99
19 152 19 283 103
19 158 92 278 104
19 157 88 277 111
19 158 94 277 103
20 -31 -89 289 129
20 17 -112 291 95
20 -25 -66 287 96
20 155 -35 287 101
20 154 -21 286 101
21 5 -99 290 113
21 -28 -75 288 127
21 -28 -53 287 95
21 153 -20 286 103
21 153 -10 285 104
22 4 -88 290 133
22 29 -85 289 104
22 -26 -60 287 122
22 -26 -61 287 122
22 -29 -60 287 122
22 25 -74 289 100
22 -31 -37 285 96
23 7 -82 289 141
23 2 -76 288 138
23 154 -49 288 103
23 -29 -39 285 121
23 -32 -22 284 93
24 7 -60 287 140
24 -22 -21 284 118
24 -3 -9 283 87
25 7 -48 287 141
25 29 -36 286 101
25 -26 -1 282 121
25 1 -1 283 90
25 150 20 283 107
26 8 -32 150 1
26 6 -25 150 1
26 29 -17 184 1
26 -4 0 176 1
26 -26 13 159 1
27 8 -14 284 135
27 5 -9 283 133
27 29 0 283 100
27 -3 14 281 101
27 -25 36 280 125
28 2 9 148 1
28 2 7 148 1
28 -25 51 153 1
29 153 -22 286 104
29 10 14 282 122
29 4 25 281 134
29 -25 67 277 130
29 159 93 277 112
30 22 33 167 1
30 7 42 145 2
30 7 42 145 1
30 -24 84 149 1
31 23 48 173 1
31 8 60 142 1
31 -23 99 177 1
32 8 79 144 2
33 10 93 276 110
34 154 -21 286 102
34 150 -13 285 106
36 151 -26 286 106
36 152 6 284 104
36 153 20 283 108
37 -71 -112 290 92
37 2 -111 291 94
38 -61 -92 289 123
38 -1 -97 290 118
38 11 -79 289 89
38 153 -34 287 106
39 1 -83 289 138
39 -54 -69 287 118
39 -59 -67 287 119
39 -64 -49 286 83
39 158 86 278 104
39 158 90 278 104
39 158 94 277 103
40 1 -64 288 130
40 3 -56 287 130
40 -56 -40 285 118
40 149 -42 287 102
40 155 -42 287 101
40 4 -31 285 95
40 152 -22 286 107
40 154 86 278 104
40 157 87 278 104
40 158 87 278 104
40 157 90 277 103
40 158 95 277 103
40 158 94 277 111
41 149 -79 290 104
41 153 -74 290 106
41 8 -39 286 129
41 155 -50 288 102
41 6 -33 285 127
41 152 -34 287 107
41 -57 -18 284 121
41 152 25 282 108
41 151 26 282 108
41 151 25 282 108
42 7 -13 284 130
42 -38 -3 283 114
42 -47 3 282 117
42 10 11 282 97
43 150 -58 289 103
43 150 -57 289 103
43 154 -54 289 103
43 155 -50 288 102
43 150 -46 288 102
43 153 -46 288 102
43 155 -45 288 102
43 -24 12 282 101
43 7 8 282 126
43 -37 27 280 120
43 -69 36 280 93
43 -39 28 280 120
43 -39 27 280 120
44 151 -42 287 101
44 155 -38 287 101
44 155 -35 287 101
44 30 29 281 99
44 6 31 280 126
44 -29 49 279 114
45 151 -21 286 106
45 148 -14 285 106
45 -23 71 277 100
45 4 56 279 127
46 150 -49 288 102
46 153 -49 288 102
46 154 -49 288 102
46 155 -45 288 102
46 151 -22 286 106
46 157 0 284 105
46 153 26 282 108
46 159 92 278 104
46 154 84 278 119
46 -21 98 275 100
46 7 83 276 126
47 153 -21 286 104
47 158 92 278 104
47 154 84 278 119
47 -23 99 275 97
47 6 88 276 118
47 158 94 277 103
48 155 -42 287 101
48 154 -35 287 101
48 154 -38 287 101
48 153 -22 286 105
48 145 -14 285 109
48 157 87 278 114
48 0 95 275 104
49 152 -22 286 106
49 153 19 283 109
49 156 88 277 114
49 156 90 277 114
50 153 23 174 1
50 156 84 171 1
51 148 -38 287 105
51 151 -22 286 109
51 152 26 282 108
52 152 -23 179 1
53 147 -48 288 109
53 148 -41 287 104
53 149 -42 287 104
53 152 -23 286 106
53 153 26 282 108
54 154 -42 287 101
54 150 -40 287 101
54 153 -38 287 101
54 154 -38 287 101
54 154 -24 286 103
55 151 -24 286 108
55 158 86 278 104
55 157 97 277 104
56 154 -49 288 102
56 155 -45 288 102
56 155 -39 287 101
56 152 -26 286 107
57 153 -24 286 106
57 153 26 282 108
58 154 -24 183 1
58 153 26 174 1
59 148 -39 179 1
59 145 -22 181 1
59 153 -23 182 1
59 153 -13 183 1
59 153 26 175 3
59 158 92 174 1
59 155 85 160 1
59 158 94 174 1
60 150 -48 288 111
60 150 -22 286 107
60 153 26 282 106
60 158 92 278 104
60 155 85 278 117
61 155 -50 288 102
61 149 -37 287 107
61 149 -23 286 109
61 153 19 283 109
61 155 85 278 117
62 151 -42 287 100
62 146 -21 286 104
62 145 -21 286 104
62 153 25 282 108
62 152 26 282 108
62 152 25 282 108
62 158 92 278 104
62 157 88 277 112
62 158 94 277 103
63 154 -39 287 102
